id,nume,prenume,jud_dom,juddom,loc_dom,locdom,ocupatia,profesia,nrcirc,dencirc,tip_camera,tip_formatiune,denumire_formatiune,denumireformatiune,pozitie
93,VELCEA,NICOLAE,3,ARGEŞ,13392,ORAŞ ŞTEFĂNEŞTI,ȘEF SERVICIU,ECONOMIST,3,ARGEŞ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,6
94,VASILESCU,VICTOR-GABRIEL,3,ARGEŞ,13757,ORAŞ TOPOLOVENI,MANAGER GENERAL,ECONOMIST,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,6
95,MĂRĂȘOIU,DORIN,3,ARGEŞ,13757,ORAŞ TOPOLOVENI,ȘEF OCOL SILVIC,INGINER SILVIC,3,ARGEŞ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,9
96,DORU,OLIMPIA,3,ARGEŞ,13187,BASCOV,MANAGER GENERAL,CONTABIL STATISTICIAN,3,ARGEŞ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
97,MINCU,GHEORGHE-SORINEL,3,ARGEŞ,14753,BRĂDULEŢ,ADMINISTRATOR,ȘOFER,3,ARGEŞ,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,8
98,BĂDOI,DANA-GEORGETA,3,ARGEŞ,14753,BRĂDULEŢ,CHIMIST,CHIMIST,3,ARGEŞ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,9
99,MIRA,EUGEN,3,ARGEŞ,15233,CĂTEASCA,TEHNICIAN VETERINAR,TEHNICIAN VETERINAR,3,ARGEŞ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,8
100,GRAUR,SEVER,3,ARGEŞ,16454,DOMNEŞTI,PENSIONAR,MAISTRU STRUNGAR,3,ARGEŞ,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,9
101,PANTILIE,GABRIEL-COSMIN,3,ARGEŞ,17254,MIHĂEŞTI,DIRECTOR,JURIST,12,CĂLĂRAŞI,S,P,18,PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL) (PPU) ,1
102,NAE,EUGEN,3,ARGEŞ,18778,STÎLPENI,CONSILIER LA SENATUL ROMÂNIEI,JURIST,3,ARGEŞ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
