id,nume,prenume,jud_dom,juddom,loc_dom,locdom,ocupatia,profesia,nrcirc,dencirc,tip_camera,tip_formatiune,denumire_formatiune,denumireformatiune,pozitie
5258,MELEȘCANU,TEODOR-VIOREL,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,PROFESOR UNIVERSITAR,JURIST,31,PRAHOVA,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,1
5259,DIMITRESCU,MIRICĂ,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,PENSIONAR,INGINER AVIAŢIE,42,MUNICIPIUL BUCUREŞTI,S,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,2
5260,GROSARU,ANDI-GABRIEL,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,AVOCAT,AVOCAT PRACTICIAN ÎN INSOLVENȚĂ,99,BEC,CD,M,81,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT. (ROASIT) ,1
5261,STĂNCHESCU,GHEORGHE,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,SCRIITOR,JURNALIST,20,GORJ,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),1
5262,TRAŞCĂ,NATALIA,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,CONTABIL,CONTABIL,42,MUNICIPIUL BUCUREŞTI,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),29
5263,VELCEA,GEORGETA,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,PENSIONAR,ECONOMIST,34,SIBIU,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,4
5264,STERIU,VALERIU-ANDREI,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,DEPUTAT,INGINER,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,1
5265,RĂDULESCU,CRISTIAN-GABRIEL,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,ADMINISTRATOR DE PATRIMONIU,JURNALIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,11
5266,ROMANICI,SORIN,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,Director vânzări,Specialist imobilare,13,CLUJ,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),5
5267,PATIT,VICTOR-NICOLAE,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,INSPECTOR ASIGURĂRI,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,26
5268,GONCEA,GHEORGHIŢĂ-LIVIU,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,DIRECTOR GENERAL,JURIST,42,MUNICIPIUL BUCUREŞTI,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,3
5269,COSMATU,CHRISTIANE-GERTRUD,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,SUBSECRETAR DE STAT,PROFESOR,99,BEC,CD,M,4,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA (FDGR) ,3
5270,DIACONU,DIANA-SIMONA,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,Avocat,Avocat,13,CLUJ,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),11
5271,CARACOTE,IONUŢ-TIBERIU,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,ANTREPRENOR,INGINER,42,MUNICIPIUL BUCUREŞTI,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,14
5272,NESTOR,PAULA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,DESENATOR TEHNIC,42,MUNICIPIUL BUCUREŞTI,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),9
5273,DRAGOMIR,CORNELIU,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,MEDIC,42,MUNICIPIUL BUCUREŞTI,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),5
5274,ROMAN,RODICA-DORINA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,LIBER PROFESIONIST,PROFESOR,36,TELEORMAN,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,1
5275,IVAN,IONELIA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,AVOCAT,AVOCAT,42,MUNICIPIUL BUCUREŞTI,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,6
5276,GRIGORE,MIHAELA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,SECRETAR,INGINER,16,DÂMBOVIŢA,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,9
5277,PARASCHIV,ELENA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,DACTILOGRAF,36,TELEORMAN,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,6
5278,DIŢU,MIHAELA-VASILICA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,CONTABILITATE PRIMARĂ,TEHNICIAN,42,MUNICIPIUL BUCUREŞTI,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,5
5279,THEODORESCU,MARIANA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,AGENT SECURITATE AEROPORTUARĂ,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,22
5280,DIMA,PETRICĂ,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,ADIMISTRATOR SRL,OFIŢER MAI,42,MUNICIPIUL BUCUREŞTI,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,1
5281,GLIGOR,VIOREL,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,OFIŢER MAPN,42,MUNICIPIUL BUCUREŞTI,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,2
5282,POPOVSCHI,ŞERBAN,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,CONSULTANT JURIDIC,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,25
5283,GĂTEJOIU,GABRIEL,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,CONSULTANT,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),36
5284,MĂRGINEAN,LUMINIȚA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,ELECTRICIAN,36,TELEORMAN,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,1
5285,HEKSCH,MIHAELA-LIDIA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PREȘEDINTE OF PMP SECTOR 2,INGINER,42,MUNICIPIUL BUCUREŞTI,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,16
5286,RAIA,MIHAELA-DANA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,Funcţionar bancar,Economist,13,CLUJ,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),4
5287,STANCIU,MARIN,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,CADRU MILITAR,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,35
5288,POPA,GABRIEL-IONUŢ,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,DIRECTOR COMERCIAL,LICENŢIAT ÎN STUDII ADMINISTRATIVE,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,7
5289,DRĂGUŢ,ANDREI-EUGEN,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,STUDENT - DOCTORAND,POLITOLOG,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,30
5290,CAPSALI,PERICLE-IULIAN,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PUBLICIST REGIZOR FILM,PUBLICIST REGIZOR FILM,10,BUZĂU,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),1
5291,JITARIU,MIHAI,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,CONSILIER JURIDIC,CONSILIER JURIDIC,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,34
5292,GIUGULA,MIHAI-DORU,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,AVOCAT,AVOCAT,31,PRAHOVA,S,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,1
5293,LINŢĂ,ION-GABRIEL,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,ADMINISTRATOR SC,INGINER,42,MUNICIPIUL BUCUREŞTI,CD,CI,,,
5294,POPESCU,ADRIANA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,CONTROLOR DE TRAFIC AERIN,INSTRUCTOR ROMATSA,29,NEAMŢ,S,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,2
5295,RIZEA,IONEL,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,MERCEOLOG,MERCEOLOG,42,MUNICIPIUL BUCUREŞTI,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),27
5296,TRANOLE,ŞTEFAN,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,INSPECTOR TEHNIC,MAISTRU MECANIC AUTO,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,20
5297,SUCIU,IOAN-ALEXANDRU,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,CONSILIER ARHIVE,PROFESOR,8,BRAŞOV,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,1
5298,DUMITRESCU,MARIAN,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,TAXIMETRIST,TEHNICIAN CHIMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,24
5299,TELEKI,COSTEL,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,ȘEF ECHIPĂ,ING INSTALAȚII SANITARE ȘI DE ÎNCĂLZIRE,32,SATU MARE,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),5
5300,CHIRCU,IONEL,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,INGINER TELEROM,INGINER,32,SATU MARE,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),2
5301,BARBU,MARIA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,CONSILIERE  PSIHOLOGICĂ,PROFESOR PSIHOPEDAGOG,42,MUNICIPIUL BUCUREŞTI,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,2
5302,PASAT,CRISTINA-MARIA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,MANAGER,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),17
5303,POPESCU,LAVINIA-MIHAELA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,MEDIC,MEDIC,40,VÂLCEA,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),1
5304,STOIAN,STELUŢA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,CONSILIER IMOBILIAR,MAG COMERCIAL,42,MUNICIPIUL BUCUREŞTI,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,5
5305,MANEA,MARIUS,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,ADMINISTRATOR,INGINER AGRONOM,36,TELEORMAN,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),1
5306,IOVICI,TEODOR-VICTOR,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,DIRECTOR,INGINER ECONOMIST,40,VÂLCEA,CD,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,1
5307,BUNESCU,ALEXANDRU-RĂZVAN,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,ECONOMIST,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,14
5308,PAVEL,ŞTEFANIA ANICA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,Tehnician,Tehnician,13,CLUJ,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),10
5309,IONIȚĂ,ELENA-MONICA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,ECONOMIST,ECONOMIST,10,BUZĂU,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),5
5310,ONOFREI,IOAN-DANIEL,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,DIRECTOR VÂNZĂRI,LICENȚIAT RELAȚII INTERNAȚIONALE ȘI STUDII EUROPENE,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,33
5311,ANTON,VLAD,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,TEHNICIAN DENTAR,TEHNICĂ DENTARĂ,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,13
5312,UDREA,ELENA-GABRIELA,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,DEPUTAT,AVOCAT,42,MUNICIPIUL BUCUREŞTI,CD,CI,,,
5313,POIANĂ,LILIANA,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,REPREZENTANT MEDICAL,SOCIOLOG,36,TELEORMAN,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,2
5314,CSIKI,ERZSÉBET,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,PENSIONAR,MERCEOLOG,29,NEAMŢ,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,10
5315,CÂRJĂ,VICTOR,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,PENSIONAR,SUBINGINER,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,36
5316,FILIP,CONSTANTIN-TITIAN,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,MEDIC NEUROCHIRURG,MEDIC,42,MUNICIPIUL BUCUREŞTI,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,1
5318,VLĂDESCU,GEORGETA,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,PENSIONARĂ,CONTABILĂ,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,26
5319,NEGRILĂ,MARIANA,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,ADMINISTRATOR FIRMĂ,ADMINISTRATOR FIRMĂ,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,19
5320,MURAR,CARMEN,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,PENSIONAR,INSPECTOR RESURSE UMANE ŞI SSM,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,37
5321,LUPU,DANIEL FLORIN,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,JURIST,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,10
5322,ENE,VIOREL,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,DIRECTOR,SUBINGINER,31,PRAHOVA,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),2
5323,ANTON,BOGDAN-VALENTIN,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,TEHNICIAN IT,TEHNICIAN IT,42,MUNICIPIUL BUCUREŞTI,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),35
5324,ZAMFIRESCU,BOGDAN-IONUȚ,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,TEHNICIAN,TEHNICIAN,36,TELEORMAN,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,4
5325,CĂRĂUȘAN,VALENTIN,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,-,ADMINISTRATOR,31,PRAHOVA,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),11
5326,MARIN,TEODOR,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,ADMINISTRATOR,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,27
5328,GUŞATU,ALINA-RAMONA,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,INSPECTOR ASIGURĂRI,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,30
5329,DINU,IOANA,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,PENSIONAR,CROITOR,23,IALOMIŢA,S,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,4
5330,BOTEA,ION-COSMIN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,STUDENT,INGINER,23,IALOMIŢA,CD,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,5
5331,DORUNGĂ,GEORGE,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,-,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,13
5332,PURCĂREA,MIHAIL TEODOR,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,ECONOMIST,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,25
5333,PĂDURARU,DUMITRU-CRISTIAN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,ŞOFER,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),34
5334,TIŢU,VLAD-GEORGE,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,-,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,22
5335,FLORICEL,GHEORGHE,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,ŞEF SERVICIU ADMINISTRATIV,INGINER,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,23
5336,ENACHE,NADIA-IULIANA,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,CONSULTANT VÂNZĂRI,CONSULTANT VÂNZĂRI,23,IALOMIŢA,CD,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,1
5337,NIŢĂ,CRISTIAN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,INGINER APROVIZIONARE,INGINER,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,28
5338,BURCEA,DĂNUŢ-ALEXANDRU,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,INSPECTOR DE SPECIALITATE,OFIŢER,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,34
5339,ENACHE,CRISTIAN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,PENSIONAR,ELECTRICIAN,23,IALOMIŢA,CD,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,3
5340,ION,VIOREL-CĂTĂLIN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,MECANIC,MECANIC,23,IALOMIŢA,CD,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,4
5341,DORUNGĂ,DANIEL,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,-,STUDENT,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,24
5342,SANDU,VALENTIN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,Manager,Licenţiat drept,13,CLUJ,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),13
5343,MUSTĂŢEA,ANDREI-VICTOR,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,CONSILIER JURIDIC,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,29
5344,EDU,ADRIAN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,PRESEDINTE ONG,ANALIST POLITIC,23,IALOMIŢA,S,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,2
5345,TEODOROVICI,EUGEN-ORLANDO,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,SENATOR,ECONOMIST,38,TULCEA,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
5346,CIOBANU,ADRIAN-ŞTEFAN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,ADMINISTRATOR,TEHNICIAN,42,MUNICIPIUL BUCUREŞTI,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),32
5347,POPA,ADRIAN-LIVIU,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,FOCHIST,ELECTRICIAN,23,IALOMIŢA,CD,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,6
5348,DICULESCU,LUCIA-ALEXANDRA,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,-,INGINER,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,31
5349,PLĂCINTESCU,IOAN-BOGDAN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,DESIGN GRAFICĂ,ANIMATOR FILM,10,BUZĂU,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),6
5350,ZDROBIŞ,COSTICĂ,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,ADMINISTRATOR,INGINER,42,MUNICIPIUL BUCUREŞTI,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,3
5351,PARASCHIV,MARCEL,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,REFERENT,PROFESOR,16,DÂMBOVIŢA,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,2
5352,BURCEA,GEORGE-IONUŢ,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,ŞEF DEPARTAMENT TEHNIC ŞI DISPECERAT,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,35
5353,DOBRE,TEODOR VALENTIN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,CONSILIER JURIDIC,CONSILIER JURIDIC,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,18
5354,MOCANU,AURELIU-ŞTEFAN,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,PENSIONAR,PROFESOR,42,MUNICIPIUL BUCUREŞTI,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,6
5355,FLORESCU,ŞTEFAN-VIOREL,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,PREŞEDINTE FONDATOR AL FUNDAŢIEI  ŞTEFAN FLORESCU “DIN SUFLET PENTRU SUFLET“,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,4
5356,POPESCU,RADU-ALEXANDRU,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,AGENT VÂNZĂRI,CONSULTANT FINANCIAR,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,32
5357,OTVÖS,CRISTIAN-ION,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,ȘOFER,LĂCĂTUȘ MECANIC,32,SATU MARE,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),4
5358,MUSCALU,ŞTEFAN-MARIUS,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,JURIST,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,27
5359,ŞTEFĂNESCU,VASILE,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,DIRECTOR EXECUTIV UGIR,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,3
5360,CIAUŞESCU,EMILIAN,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,TEHNICIAN FRIGOTEHNIST,TEHNICIAN FRIGOTEHNIST,42,MUNICIPIUL BUCUREŞTI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,21
5361,MARINESCU,ȘERBAN,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,ARHITECT,ARHITECT,36,TELEORMAN,CD,P,111,UNIUNEA SALVAȚI ROMÂNIA (USR),1
