"SARKADY ZSOLT-CSABA";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S3 Bihor";10764
"ROMOSAN IOAN-DOREL";"PARTIDUL ROMÂNIA MARE";"S3 Bihor";3250
"CAPRIS TEODORESCU-VIRGIL";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S3 Bihor";1522
"GROZA MIHAI-DAN";"PARTIDUL DEMOCRAT LIBERAL";"S4 Bihor";12428
"DELOREAN ION-IULIUS";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S4 Bihor";11911
"CARP GHEORGHE";"PARTIDUL NATIONAL LIBERAL";"S4 Bihor";10206
"MANG IO AN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S4 Bihor";9008
"PLATONA PA VEL";"PARTIDUL ROMÂNIA MARE";"S4 Bihor";2191
"CUTUS LAZAR";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S4 Bihor";845
"SBÎRCIUIOAN";"PARTIDUL DEMOCRAT LIBERAL";"S1 Bistrita-Nasaud";17570
"PANA ADRIANA-DOINA";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Bistrita-Nasaud";15375
"BINDEA VALER";"PARTIDUL NATIONAL LIBERAL";"S1 Bistrita-Nasaud";11126
"TOOK ECATERINA";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S1 Bistrita-Nasaud";2259
"COTUTIU VIOREL";"PARTIDUL ROMÂNIA MARE";"S1 Bistrita-Nasaud";1918
"CATINEAN PETRU";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S1 Bistrita-Nasaud";1253
"POP VIOREL";"PARTIDUL VERDE ECOLOGIST";"S1 Bistrita-Nasaud";942
"PRUNEA NICOLAE-DANUT";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S2 Bistrita-Nasaud";20323
"ILIESI SABIN";"PARTIDUL DEMOCRAT LIBERAL";"S2 Bistrita-Nasaud";19612
