"AMET ALEDIN","UNIUNEA DEMOCRATA A TATARILOR TURCO-MUSULMANI DIN ROMÂNIA","4 Arad",19
"FIRCZAK GHEORGHE","UNIUNEA CULTURALA A RUTENILOR DIN ROMÂNIA","4 Arad",9
"IBRAMIUSEIN","UNIUNEA DEMOCRATA TURCA DIN ROMÂNIA","4 Arad",11
"LUCA CIPRIAN-FLORIN","ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR","5 Arad",5958
"ALBERT LADISLAU","UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA","5 Arad",335
"FEIES GHEORGHE-PETRU","PARTIDUL DEMOCRAT LIBERAL","5 Arad",11274
"STRAGEA CRISTIAN-DIMITRIE","PARTIDUL NATIONAL LIBERAL","5 Arad",4154
"CRET NICOARÂ","PARTIDUL ROMÂNIA MARE","5 Arad",969
"GIURESCU DUMITRU","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","5 Arad",490
"RADAN MIHAI","UNIUNEA CROATILOR DIN ROMÂNIA","5 Arad",49
"MIRCOVICI NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","5 Arad",28
"PAMBUCCIAN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","5 Arad",41
"ZISOPOL DRAGOS-GABRIEL","UNIUNEA ELENA DIN ROMÂNIA","5 Arad",16
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","5 Arad",12
"PAUN NICOLAE","PARTIDA ROMILOR PRO-EUROPA","5 Arad",124
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","5 Arad",55
"GROSARU MIRCEA","ASOCIATIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.","5 Arad",19
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","5 Arad",34
"MANOLESCU O ANA","ASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","5 Arad",44
